date,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-01-08,5585.02294921875,5506.22705078125,5357.67578125,5478.38720703125,5558.57568359375,5862.1005859375,6143.6279296875,6515.07373046875,6804.90869140625,6988.771484375,7206.37939453125,7168.83544921875,7302.89111328125,7176.00341796875,7287.21240234375,7250.16259765625,7313.61279296875,7266.06982421875,7270.154296875,7076.873046875,6872.87060546875,6694.1728515625,6515.03515625,6313.228515625
2024-01-09,5639.78564453125,5584.35546875,5468.25927734375,5577.974609375,5832.47607421875,6220.009765625,6499.32958984375,6977.40087890625,7189.39794921875,7247.1806640625,7253.3291015625,7184.263671875,7257.75537109375,7160.3056640625,7209.009765625,7215.04833984375,7272.087890625,7165.38525390625,7079.61328125,6931.1064453125,6649.84619140625,6407.232421875,6213.50830078125,5949.01611328125
2024-01-10,5755.84814453125,5733.794921875,5596.71142578125,5740.62255859375,6004.48876953125,6413.17236328125,6712.9970703125,7136.41552734375,7315.38134765625,7350.52392578125,7326.5986328125,7273.47314453125,7303.39794921875,7229.107421875,7266.65625,7289.35400390625,7317.41552734375,7195.43408203125,7100.10791015625,6951.216796875,6669.85791015625,6432.13818359375,6234.806640625,5997.8349609375
2024-01-11,5737.8916015625,5690.44482421875,5550.20361328125,5753.78564453125,6023.37060546875,6472.2763671875,6785.2060546875,7170.205078125,7359.93603515625,7363.62744140625,7376.8740234375,7279.65966796875,7357.185546875,7271.357421875,7395.64111328125,7381.80908203125,7398.6279296875,7276.27783203125,7193.505859375,6975.4306640625,6678.8642578125,6416.81494140625,6232.4638671875,6009.82080078125
2024-01-12,5678.197265625,5646.96728515625,5503.78662109375,5657.263671875,5868.9326171875,6203.7841796875,6480.25146484375,6816.83251953125,6995.392578125,7042.63671875,7052.248046875,7020.90869140625,7077.08251953125,7002.2412109375,7057.1591796875,7064.68212890625,7103.69287109375,6979.720703125,6923.02001953125,6797.12255859375,6529.22607421875,6335.6630859375,6180.900390625,5962.03271484375
2024-01-13,6205.48388671875,6125.36474609375,6083.79443359375,6130.82470703125,6243.119140625,6319.33740234375,6441.75634765625,6597.23291015625,6679.94677734375,6742.5341796875,6730.95361328125,6748.93603515625,6773.44970703125,6775.85302734375,6737.36181640625,6778.92041015625,6782.3798828125,6770.322265625,6728.0791015625,6712.70458984375,6545.552734375,6448.39208984375,6368.99169921875,6213.36279296875
2024-01-14,6529.955078125,6415.5341796875,6352.77392578125,6274.30908203125,6306.32568359375,6262.06005859375,6280.77880859375,6380.26220703125,6426.59521484375,6500.91845703125,6520.529296875,6628.1123046875,6663.00634765625,6654.5927734375,6629.90380859375,6605.4931640625,6655.49609375,6676.865234375,6656.4384765625,6735.8525390625,6638.79150390625,6611.30419921875,6603.5390625,6478.5087890625
2024-01-15,5503.2548828125,5406.22314453125,5289.62109375,5342.7822265625,5515.62548828125,5836.54736328125,6137.07080078125,6644.2626953125,6962.84423828125,7172.99951171875,7399.2958984375,7404.2822265625,7568.74169921875,7421.28759765625,7508.5908203125,7452.96484375,7543.27685546875,7487.5341796875,7441.35009765625,7270.55126953125,7044.65869140625,6821.1025390625,6611.04541015625,6380.12109375
2024-01-16,6189.1689453125,6097.37744140625,5961.10400390625,6035.95556640625,6305.787109375,6648.07958984375,6953.5419921875,7394.4111328125,7642.77294921875,7722.94091796875,7753.48583984375,7660.98388671875,7724.8955078125,7658.04736328125,7666.7744140625,7657.673828125,7699.115234375,7633.4697265625,7575.9287109375,7433.29150390625,7138.072265625,6904.77587890625,6687.02197265625,6453.2734375
2024-01-17,5727.466796875,5686.24365234375,5580.18310546875,5649.083984375,5831.3359375,6120.71484375,6341.37646484375,6725.36474609375,6926.22509765625,7035.51904296875,7035.34423828125,7002.90234375,7074.48876953125,7007.6298828125,7003.36279296875,7037.056640625,7076.078125,6977.93212890625,6928.10205078125,6815.615234375,6556.04150390625,6349.9755859375,6211.21826171875,5990.0654296875
2024-01-18,5346.5361328125,5370.57470703125,5261.12255859375,5434.75830078125,5711.7607421875,6089.10498046875,6384.0517578125,6759.49560546875,6878.9716796875,6918.94677734375,6902.25341796875,6885.48046875,6949.13818359375,6904.06298828125,6965.69873046875,6963.64501953125,6999.1376953125,6850.22900390625,6739.0126953125,6556.31005859375,6309.927734375,6096.84375,5932.97705078125,5740.5302734375
